Id,tweets
0,: The want to hear about the impact of coronavirus – and the measures to tackle it – on people with protected charac…
1,: :we urge judges &amp; parliament of to vote for release measures to protect people in overcrowded prison…
2,": I don’t think people are digesting the fact that our President did NOTHING to stop coronavirus and is now saying ,000…"
3,"Pray for Nigeria, pray for the world and help those who are in need. May Allah swt have mercy."
4,…
5,Chick-fil-A would never
6,": Because we are on at the moment, I’m gonna surprise some people during the outbreak! ️"
7,
8,I’m giving five…
9,"Live updates: New York reports more deaths, and Trump steels nation for extended shutdown"
10,: The Corona Virus didn't stop everything. More than miles of border wall constructed since coronavirus outbreak bega…
11,: Florida pastor Rodney Howard-Browne was arrested after holding services Sunday at his Tampa megachurch despite public orders ur…
12,: RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will g…
13,": in CA, by the numbers:"
14,
15,",763 positive cases"
16,Age -17: cases
17,"Age -49: ,973 cases"
18,"Age -64: ,447…"
19,: Thanks to for passing me the microphone &amp; letting me ask my second question.
20,
21,I asked: Which health professionals…
22,: April or May? How can you possibly screw this up?
23,
24,: FLASHBACK Feb. : Pelosi Stands In San Francisco’s Chinatown And Urges People To Come Out..
25,Pelosi said Sunday that the p…
26,You're making it sound like he littered. He hypocrytically w…
27,": Coronavirus: ""West must stand up to China"" says Iain Duncan-Smith"
28,Thank you ! Corporate and human responsibility at its best!
29,": “When TC Energy brings those men in, it’s like bringing smallpox blankets in"
30,"... It’s exactly the same action, and it’s sanc…"
31,: Lockdown workout
32,A little laughter to ease the seriousness of the matter.
33,BBC News - Coronavirus: Grounded planes fill airport runways
34,": Emboldening the public distress with threatening to ban ""comforts"" that makes this lockdown less stressful."
35,
36,Doing neg…
37,": March ,"
38,
39,Despite having known about the pandemic for months and having already sent tons of strategic pande…
40,": LEAKED AUDIO==&gt; Kennedy Center President Deployed Lobbyist to Secure $25 Million in Coronavirus Stimulus, But Not a Cent…"
41,Florida's growing spread of jumped cases in the midday report Monday from the Department of Health to…
42,: Bye Honey! I hope you enjoy your self-inflicted quarantine for a very long time! Idiot!
43,
44,Top Hospital Exec Fired After S…
45,": Buckle up on the how is this real WTF moment:""‘MyPillow Guy’ Speaks at Coronavirus Briefing on Manufacturing Masks, Says ‘…"
46,: Austerity was wrong BEFORE the crisis. But in the wake of the crippling impact the pandemic is having on our h…
47,: Hall of Fame RB OJ Simpson announces on Twitter that he has tested positive for the Coronavirus. Prayers up for OJ …
48,": Shomari Stone watched as, one by one, five of his family members tested positive for the coronavirus in Michigan: …"
49,: The coronavirus will not stop me from walking around in public naked. It will not stop me from eating people.
50,: To be clear: the My Pillow guy took time out of the coronavirus press conference — focused on addressing a global pandemi…
51,": Legion posts are performing on fellow , but can take a mental toll on anyone. W…"
52,: Good.
53,
54,God Bless .
55,": As starts to get hold in Gaza, the medical teams simply don’t have the facilities to deal with it."
56,Please consi…
57,I can confirm this is not true
58,Super-Spreading Event In Washington Suggests Coronavirus Is Airborne Without Coughs or Sneezes
59,
60,
61,: Leiam atentamente a thread:
62,": YOU CANNOT, I repeat YOU CANNOT get coronavirus from your pets. People are dumping their animals at shelters out of ignora…"
63,: I have been diagnosed with presumed coronavirus infection. My symptoms are mild. I am isolating myself at my home and f…
64,": Gingrich: ‘If the Chinese Had Been Honest’ About Coronavirus, ‘95% of This Would Have Disappeared’"
65,
66,
67,: A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to…
68,: Corporate greed &amp; power helped sabotage the federal effort to produce vitally needed ventilators. This story cannot be r…
69,Like pre-awareness? Or pre-lockdown?
70,: This is how far back we have to put the swab to test you for .
71,
72,You might want to follow medical recommendations an…
73,: via DAMN THE MARKETPLACE! People are dying. This is savage capitalism at its very WORST.
74,: RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will g…
75,NCAA is so ass
76,: More Americans have now died from the coronavirus than on /11.
77,
78,"Trump knew about this for months, but chose to lie and c…"
79,"Yes, in a heartbeat"
80,": In January, California was recording about deaths a week. Last week, they recorded ,906 deaths."
81,
82,"Unlike NYC, Cali…"
83,": As I was getting out of the hospital today, my grandma passed from COVID19. I’m devastated. Please for the love of god…"
84,": I want to call the attention of Carlcare development service located at st floor Alpha and Omega building, Qu…"
85,: Trump brought the “My Pillow Guy” up to speak at his coronavirus press briefing?
86,
87,WHAT THE FUCK IS THE REPUBLICAN PARTY DOI…
88,": News: Trump suggested to govs today that the lack of testing kits is no longer a problem, saying: ""I haven’t heard about test…"
89,Support Munira by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too:…
